anchor_movie,anchor_year,system,rank,recommended_movie,recommended_year,genres,similarity,relevance_score,comments
Alien,1979,System X,1,Alien: Romulus,2024,Horror | Science Fiction,0.6539004445075989,2,
Alien,1979,System X,2,Aliens,1986,Action | Thriller | Science Fiction,0.6098074913024902,2,
Alien,1979,System X,3,Prometheus,2012,Science Fiction | Mystery | Horror,0.5931659936904907,2,
Alien,1979,System X,4,Splinter,2008,Horror | Thriller | Crime | Science Fiction,0.5878939032554626,2,
Alien,1979,System X,5,The Thing,1982,Horror | Mystery | Science Fiction,0.5840491652488708,2,
Alien,1979,System Y,1,Doom,2005,Action | Horror | Science Fiction,0.49879392981529236,1,
Alien,1979,System Y,2,Aliens,1986,Action | Thriller | Science Fiction,0.48905467987060547,2,
Alien,1979,System Y,3,The Black Hole,1979,Adventure | Science Fiction | Action,0.47129321098327637,1,
Alien,1979,System Y,4,Bad Taste,1987,Action | Comedy | Horror | Science Fiction,0.4692290127277374,1,
Alien,1979,System Y,5,Infini,2015,Horror | Science Fiction | Thriller,0.4664958119392395,1,
Alien,1979,System Z,1,Aliens,1986,Action | Thriller | Science Fiction,0.6690026521682739,2,
Alien,1979,System Z,2,Alien: Romulus,2024,Horror | Science Fiction,0.6577321290969849,2,
Alien,1979,System Z,3,Alien: Resurrection,1997,Science Fiction | Horror | Action,0.6527372598648071,2,
Alien,1979,System Z,4,Splinter,2008,Horror | Thriller | Crime | Science Fiction,0.6466946601867676,2,
Alien,1979,System Z,5,Prometheus,2012,Science Fiction | Mystery | Horror,0.6354948878288269,2,
Blade Runner,1982,System X,1,Blade Runner 2049,2017,Science Fiction | Drama,0.8090012073516846,2,
Blade Runner,1982,System X,2,Surrogates,2009,Science Fiction | Action | Thriller,0.6157313585281372,2,
Blade Runner,1982,System X,3,Heat,1995,Crime | Drama | Action,0.5787093043327332,0,
Blade Runner,1982,System X,4,"I, Robot",2004,Action | Science Fiction,0.5778068900108337,2,
Blade Runner,1982,System X,5,The Getaway,1994,Action | Adventure | Crime | Drama | Mystery | Thriller,0.5720862746238708,0,
Blade Runner,1982,System Y,1,Blade Runner 2049,2017,Science Fiction | Drama,0.7088528871536255,2,
Blade Runner,1982,System Y,2,The Sea Inside,2004,Drama,0.41895943880081177,0,
Blade Runner,1982,System Y,3,Dead Heat,1988,Horror | Science Fiction | Action | Thriller | Comedy,0.40402334928512573,1,
Blade Runner,1982,System Y,4,The Intern,2015,Comedy,0.40316128730773926,0,
Blade Runner,1982,System Y,5,Grindhouse,2007,Thriller | Action | Horror,0.399774968624115,0,
Blade Runner,1982,System Z,1,Blade Runner 2049,2017,Science Fiction | Drama,0.8242497444152832,2,
Blade Runner,1982,System Z,2,Prometheus,2012,Science Fiction | Mystery | Horror,0.6701328754425049,1,
Blade Runner,1982,System Z,3,Heat,1995,Crime | Drama | Action,0.6696580052375793,0,
Blade Runner,1982,System Z,4,American Gangster,2007,Drama | Crime,0.6617035269737244,0,
Blade Runner,1982,System Z,5,Fast Five,2011,Action | Thriller | Crime,0.6616960167884827,0,
Finding Nemo,2003,System X,1,The Life Aquatic with Steve Zissou,2004,Adventure | Comedy | Drama,0.6527333855628967,1,
Finding Nemo,2003,System X,2,Finding Dory,2016,Adventure | Animation | Family,0.6456843614578247,2,
Finding Nemo,2003,System X,3,Dolphin Tale 2,2014,Family | Drama,0.5972789525985718,1,
Finding Nemo,2003,System X,4,Jaws 3-D,1983,Thriller | Horror,0.5972316861152649,0,
Finding Nemo,2003,System X,5,The Cat in the Hat,2003,Fantasy | Adventure | Family | Comedy,0.596960186958313,1,
Finding Nemo,2003,System Y,1,The Life Aquatic with Steve Zissou,2004,Adventure | Comedy | Drama,0.4427648186683655,1,
Finding Nemo,2003,System Y,2,Jaws 3-D,1983,Thriller | Horror,0.4403281509876251,0,
Finding Nemo,2003,System Y,3,Mr. Nobody,2009,Science Fiction | Drama | Romance,0.4391530752182007,0,
Finding Nemo,2003,System Y,4,"20,000 Leagues Under the Sea",1954,Adventure | Science Fiction | Fantasy,0.426973432302475,1,
Finding Nemo,2003,System Y,5,Flipper,1996,Adventure | Family,0.4197697043418884,2,
Finding Nemo,2003,System Z,1,The Life Aquatic with Steve Zissou,2004,Adventure | Comedy | Drama,0.708365797996521,1,
Finding Nemo,2003,System Z,2,Finding Dory,2016,Adventure | Animation | Family,0.6313431262969971,2,
Finding Nemo,2003,System Z,3,47 Meters Down,2017,Horror | Thriller,0.6108287572860718,0,
Finding Nemo,2003,System Z,4,Creature from the Black Lagoon,1954,Adventure | Horror | Science Fiction,0.6044301390647888,0,
Finding Nemo,2003,System Z,5,Jaws 3-D,1983,Thriller | Horror,0.5977033376693726,0,
Gladiator,2000,System X,1,Judgment Night,1993,Action | Crime | Thriller,0.6720284223556519,0,
Gladiator,2000,System X,2,Raging Bull,1980,Drama | History,0.6365967988967896,2,
Gladiator,2000,System X,3,Warrior,2011,Drama | Action,0.6354378461837769,2,
Gladiator,2000,System X,4,Rocky V,1990,Drama,0.6283907890319824,2,
Gladiator,2000,System X,5,Absolution,2024,Action | Crime | Thriller | Mystery,0.6183196902275085,0,
Gladiator,2000,System Y,1,Absolution,2024,Action | Crime | Thriller | Mystery,0.5324581861495972,0,
Gladiator,2000,System Y,2,Brawl in Cell Block 99,2017,Action | Crime | Thriller,0.5216926336288452,1,
Gladiator,2000,System Y,3,Switchback,1997,Thriller | Mystery,0.4994960427284241,0,
Gladiator,2000,System Y,4,Trees Lounge,1996,Drama | Comedy,0.4980633556842804,0,
Gladiator,2000,System Y,5,Sidekicks,1992,Action | Adventure | Drama | Family,0.46666544675827026,1,
Gladiator,2000,System Z,1,Judgment Night,1993,Action | Crime | Thriller,0.683629035949707,0,
Gladiator,2000,System Z,2,Raging Bull,1980,Drama | History,0.6766679286956787,2,
Gladiator,2000,System Z,3,The Fighter,2010,Drama,0.6483969688415527,2,
Gladiator,2000,System Z,4,The Hurricane,1999,Drama,0.6435058116912842,2,
Gladiator,2000,System Z,5,Code of Silence,1985,Action | Crime | Drama | Thriller,0.635806679725647,0,
Groundhog Day,1993,System X,1,L.A. Story,1991,Comedy | Fantasy | Romance,0.5888458490371704,1,
Groundhog Day,1993,System X,2,The Weather Man,2005,Comedy | Drama,0.5503986477851868,1,
