anchor_movie,anchor_year,system,rank,recommended_movie,recommended_year,genres,similarity,relevance_score,comments
Alien,1979,System X,1,Alien: Romulus,2024,Horror | Science Fiction,0.6539004445075989,,
Alien,1979,System X,2,Aliens,1986,Action | Thriller | Science Fiction,0.6098074913024902,,
Alien,1979,System X,3,Prometheus,2012,Science Fiction | Mystery | Horror,0.5931659936904907,,
Alien,1979,System X,4,Splinter,2008,Horror | Thriller | Crime | Science Fiction,0.5878939032554626,,
Alien,1979,System X,5,The Thing,1982,Horror | Mystery | Science Fiction,0.5840491652488708,,
Alien,1979,System Y,1,Doom,2005,Action | Horror | Science Fiction,0.49879392981529236,,
Alien,1979,System Y,2,Aliens,1986,Action | Thriller | Science Fiction,0.48905467987060547,,
Alien,1979,System Y,3,The Black Hole,1979,Adventure | Science Fiction | Action,0.47129321098327637,,
Alien,1979,System Y,4,Bad Taste,1987,Action | Comedy | Horror | Science Fiction,0.4692290127277374,,
Alien,1979,System Y,5,Infini,2015,Horror | Science Fiction | Thriller,0.4664958119392395,,
Alien,1979,System Z,1,Aliens,1986,Action | Thriller | Science Fiction,0.6690026521682739,,
Alien,1979,System Z,2,Alien: Romulus,2024,Horror | Science Fiction,0.6577321290969849,,
Alien,1979,System Z,3,Alien: Resurrection,1997,Science Fiction | Horror | Action,0.6527372598648071,,
Alien,1979,System Z,4,Splinter,2008,Horror | Thriller | Crime | Science Fiction,0.6466946601867676,,
Alien,1979,System Z,5,Prometheus,2012,Science Fiction | Mystery | Horror,0.6354948878288269,,
Blade Runner,1982,System X,1,Blade Runner 2049,2017,Science Fiction | Drama,0.8090012073516846,,
Blade Runner,1982,System X,2,Surrogates,2009,Science Fiction | Action | Thriller,0.6157313585281372,,
Blade Runner,1982,System X,3,Heat,1995,Crime | Drama | Action,0.5787093043327332,,
Blade Runner,1982,System X,4,"I, Robot",2004,Action | Science Fiction,0.5778068900108337,,
